[inf] mode=exp
[inf] preprocessing: s_low=1.5 s_high=9.0 bl_start=5.0
[inf] device=mps
[load_model] V2 loaded from experiments/prepump_joint_train_v6_fix/epoch_ckpts/epoch_022.pt (out_dim=8, input_len=431)
[load] 200 bootstrap × 45 time pts × 637 s-pts
[inf:exp] preprocessing 200×45 signals...
  50/200
  100/200
  150/200
  200/200
[calib] alpha override=0.01500  pre_pump_residual_std=0.0283
[inf:exp] delta calibration done. Sample norm stats (t00): std=0.0496
[inf:exp] running inference...

[inf:exp] Key distances over 45 time points (mean ± bootstrap_std):
    t           O-N (Å)          O-C5 (Å)          N-C5 (Å)          N-C2 (Å)          N-C4 (Å)         C5-C2 (Å)         C5-C4 (Å)   h_C5_signed (Å)
  t00:   2.851±0.004   4.223±0.006   1.461±0.009   1.464±0.003   1.463±0.003   2.423±0.004   2.425±0.006   0.725±0.021
  t01:   2.853±0.004   4.223±0.008   1.455±0.011   1.464±0.003   1.462±0.003   2.426±0.007   2.423±0.008   0.723±0.022
  t02:   2.851±0.004   4.222±0.005   1.460±0.010   1.462±0.003   1.461±0.003   2.424±0.005   2.423±0.007   0.723±0.019
  t03:   2.852±0.003   4.221±0.006   1.457±0.008   1.462±0.003   1.462±0.003   2.425±0.005   2.421±0.005   0.722±0.019
  t04:   2.852±0.004   4.219±0.006   1.455±0.008   1.461±0.003   1.459±0.003   2.426±0.005   2.420±0.006   0.720±0.020
  t05:   2.851±0.004   4.224±0.006   1.455±0.009   1.463±0.002   1.462±0.003   2.423±0.005   2.423±0.006   0.728±0.022
  t06:   2.853±0.004   4.223±0.007   1.451±0.010   1.462±0.003   1.462±0.003   2.424±0.006   2.423±0.007   0.730±0.021
  t07:   2.858±0.007   4.223±0.012   1.447±0.015   1.462±0.004   1.462±0.004   2.430±0.009   2.427±0.011   0.740±0.043
  t08:   2.854±0.006   4.223±0.009   1.451±0.016   1.463±0.004   1.465±0.004   2.423±0.008   2.424±0.009   0.758±0.051
  t09:   2.869±0.013   4.208±0.027   1.427±0.026   1.466±0.008   1.466±0.008   2.421±0.017   2.416±0.018   0.729±0.059
  t10:   2.858±0.008   4.211±0.017   1.421±0.022   1.459±0.004   1.457±0.004   2.426±0.014   2.418±0.018   0.765±0.036
  t11:   2.851±0.011   4.226±0.035   1.429±0.037   1.461±0.004   1.461±0.005   2.441±0.029   2.443±0.033   0.855±0.078
  t12:   2.882±0.020   4.158±0.068   1.392±0.040   1.463±0.009   1.463±0.010   2.419±0.030   2.417±0.032   0.886±0.112
  t13:   2.871±0.012   4.213±0.020   1.405±0.035   1.466±0.006   1.468±0.006   2.422±0.018   2.424±0.019   0.809±0.081
  t14:   2.866±0.018   4.243±0.101   1.515±0.162   1.458±0.009   1.460±0.009   2.500±0.102   2.504±0.111   0.920±0.225
  t15:   2.893±0.026   4.210±0.201   1.893±0.379   1.459±0.013   1.465±0.012   2.696±0.212   2.724±0.231   1.263±0.523
  t16:   2.856±0.042   4.239±0.159   1.840±0.420   1.439±0.026   1.448±0.022   2.690±0.248   2.728±0.265   1.379±0.618
  t17:   2.890±0.033   4.318±0.160   1.601±0.267   1.467±0.017   1.469±0.014   2.573±0.198   2.603±0.207   0.893±0.352
  t18:   2.885±0.018   4.242±0.136   1.697±0.287   1.465±0.014   1.469±0.013   2.579±0.170   2.608±0.188   0.935±0.397
  t19:   2.872±0.037   4.303±0.138   1.586±0.210   1.458±0.017   1.459±0.015   2.540±0.155   2.575±0.166   0.767±0.196
  t20:   2.928±0.040   4.207±0.119   1.370±0.158   1.470±0.019   1.471±0.017   2.443±0.120   2.460±0.132   0.835±0.166
  t21:   2.895±0.032   4.242±0.091   1.501±0.260   1.459±0.019   1.461±0.015   2.499±0.166   2.517±0.183   0.867±0.351
  t22:   2.929±0.053   4.385±0.286   1.589±0.390   1.474±0.024   1.472±0.022   2.629±0.317   2.654±0.333   0.942±0.377
  t23:   3.002±0.040   4.249±0.271   1.499±0.275   1.522±0.021   1.523±0.023   2.565±0.249   2.588±0.269   0.997±0.207
  t24:   2.957±0.036   4.351±0.238   1.538±0.286   1.496±0.017   1.495±0.018   2.603±0.250   2.617±0.268   0.945±0.244
  t25:   2.927±0.033   4.223±0.208   1.644±0.235   1.480±0.019   1.493±0.021   2.633±0.188   2.679±0.196   1.383±0.290
  t26:   2.961±0.034   4.197±0.182   1.416±0.209   1.495±0.018   1.501±0.020   2.495±0.183   2.515±0.195   1.041±0.207
  t27:   2.984±0.033   4.060±0.107   1.228±0.091   1.498±0.019   1.497±0.020   2.345±0.091   2.322±0.100   0.841±0.171
  t28:   2.977±0.041   4.291±0.229   1.449±0.301   1.495±0.022   1.496±0.022   2.547±0.250   2.574±0.265   0.939±0.241
  t29:   3.017±0.039   4.142±0.277   1.447±0.294   1.523±0.022   1.529±0.025   2.502±0.267   2.540±0.281   1.017±0.298
  t30:   2.979±0.046   4.216±0.270   1.476±0.292   1.504±0.023   1.510±0.026   2.539±0.233   2.577±0.246   1.061±0.201
  t31:   2.976±0.040   4.195±0.233   1.376±0.251   1.490±0.021   1.494±0.021   2.482±0.216   2.511±0.227   1.026±0.193
  t32:   2.998±0.045   3.961±0.201   1.323±0.149   1.518±0.023   1.528±0.025   2.377±0.139   2.402±0.154   1.093±0.243
  t33:   2.955±0.042   4.003±0.175   1.413±0.153   1.497±0.021   1.510±0.022   2.420±0.108   2.456±0.118   1.122±0.220
  t34:   2.988±0.044   4.160±0.171   1.294±0.203   1.500±0.021   1.498±0.021   2.427±0.165   2.426±0.179   0.902±0.179
  t35:   3.010±0.047   4.033±0.186   1.225±0.185   1.513±0.024   1.514±0.025   2.350±0.165   2.343±0.181   0.914±0.219
  t36:   2.937±0.048   4.264±0.179   1.496±0.219   1.483±0.023   1.485±0.026   2.531±0.170   2.565±0.182   0.884±0.197
  t37:   3.009±0.042   4.168±0.231   1.390±0.231   1.519±0.022   1.522±0.023   2.497±0.216   2.518±0.229   1.061±0.232
  t38:   3.001±0.040   4.073±0.195   1.282±0.171   1.512±0.023   1.516±0.025   2.396±0.158   2.402±0.172   0.995±0.151
  t39:   3.001±0.046   4.203±0.217   1.370±0.249   1.507±0.024   1.506±0.026   2.489±0.217   2.500±0.233   0.962±0.242
  t40:   2.983±0.050   4.218±0.215   1.331±0.280   1.494±0.023   1.493±0.023   2.467±0.219   2.474±0.235   0.910±0.217
  t41:   2.987±0.034   4.261±0.260   1.454±0.281   1.503±0.019   1.502±0.021   2.549±0.256   2.566±0.272   0.985±0.252
  t42:   2.979±0.032   4.036±0.134   1.246±0.091   1.499±0.017   1.502±0.021   2.344±0.094   2.357±0.103   0.899±0.223
  t43:   2.931±0.039   4.184±0.127   1.338±0.161   1.472±0.019   1.471±0.018   2.429±0.125   2.417±0.140   0.836±0.153
  t44:   2.921±0.038   4.399±0.238   1.584±0.307   1.470±0.019   1.468±0.020   2.627±0.252   2.652±0.266   0.873±0.240

[inf:exp] mean key distances across all time pts: [2.9222076 4.206613  1.4572589 1.480376  1.4822078 2.4825895 2.4955368
 0.9133463]
[inf] saved: experiments/prepump_joint_train_v6_fix/inference_epoch022_alpha015.npz
